,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL210625C00065000,2021-06-22 19:25:18,65.0,68.91,67.0,69.95,0.0,0.0,14.0,35,5.62500296875,True,REGULAR,USD
1,AAPL210625C00070000,2021-06-18 14:33:11,70.0,60.96,62.0,65.65,0.0,0.0,3.0,23,6.648439189453127,True,REGULAR,USD
2,AAPL210625C00075000,2021-06-18 19:52:50,75.0,55.95,58.35,58.45,0.0,0.0,40.0,50,4.343754570312499,True,REGULAR,USD
3,AAPL210625C00080000,2021-06-14 14:02:33,80.0,50.5,53.35,53.45,0.0,0.0,6.0,14,3.8750003125,True,REGULAR,USD
4,AAPL210625C00085000,2021-06-23 15:44:59,85.0,48.65,48.35,48.45,0.0,0.0,4.0,50,3.468751328125,True,REGULAR,USD
5,AAPL210625C00090000,2021-06-21 14:36:21,90.0,43.72,43.35,43.45,0.0,0.0,9.0,180,3.06250234375,True,REGULAR,USD
6,AAPL210625C00095000,2021-06-21 14:28:38,95.0,35.65,38.35,38.45,0.0,0.0,4.0,159,2.6718783203125005,True,REGULAR,USD
7,AAPL210625C00100000,2021-06-23 18:57:50,100.0,33.38,33.35,33.45,-0.52000046,-1.5339246,12.0,193,2.3125042187499996,True,REGULAR,USD
8,AAPL210625C00104000,2021-06-18 15:12:22,104.0,26.65,29.35,29.45,0.0,0.0,6.0,6,2.031254921875,True,REGULAR,USD
9,AAPL210625C00105000,2021-06-22 16:35:28,105.0,29.1,28.35,28.45,1.210001,4.338476,1.0,14,1.953125234375,True,REGULAR,USD
10,AAPL210625C00107000,2021-06-18 14:50:48,107.0,23.85,26.35,26.45,0.0,0.0,10.0,15,1.8203133984375,True,REGULAR,USD
11,AAPL210625C00108000,2021-06-17 13:42:03,108.0,22.8,25.35,25.45,0.0,0.0,,6,1.75000125,True,REGULAR,USD
12,AAPL210625C00109000,2021-06-21 15:08:18,109.0,25.3,24.35,24.45,2.6799984,11.847915,1.0,15,1.6875015625,True,REGULAR,USD
13,AAPL210625C00110000,2021-06-24 19:56:03,110.0,23.35,23.35,23.45,0.0,0.0,51.0,185,1.6171894140625,True,REGULAR,USD
14,AAPL210625C00111000,2021-06-10 13:41:10,111.0,16.65,22.35,22.45,0.0,0.0,4.0,4,1.5468772656249998,True,REGULAR,USD
15,AAPL210625C00112000,2021-06-16 18:00:57,112.0,17.45,21.35,21.45,0.0,0.0,11.0,27,1.484377578125,True,REGULAR,USD
16,AAPL210625C00113000,2021-06-23 13:31:00,113.0,20.7,20.35,20.5,0.0,0.0,7.0,15,1.2500037499999999,True,REGULAR,USD
17,AAPL210625C00114000,2021-06-22 18:02:41,114.0,19.15,19.35,19.45,0.0,0.0,8.0,10,1.3515657421874998,True,REGULAR,USD
18,AAPL210625C00115000,2021-06-24 17:15:22,115.0,18.55,18.35,18.45,-0.40000153,-2.1108258,2.0,189,1.2890660546875,True,REGULAR,USD
19,AAPL210625C00116000,2021-06-17 18:10:48,116.0,15.82,17.35,17.45,0.0,0.0,32.0,31,1.21875390625,True,REGULAR,USD
20,AAPL210625C00117000,2021-06-18 19:46:24,117.0,17.3,16.35,16.45,3.3499994,24.014334,1.0,129,1.15625421875,True,REGULAR,USD
21,AAPL210625C00118000,2021-06-23 17:16:01,118.0,16.08,15.4,15.5,0.0,0.0,5.0,186,1.0859420703125,True,REGULAR,USD
22,AAPL210625C00119000,2021-06-24 14:44:42,119.0,15.24,14.35,14.45,0.3899994,2.6262586,1.0,391,1.0234423828125,True,REGULAR,USD
23,AAPL210625C00120000,2021-06-24 16:55:03,120.0,13.58,13.35,13.45,-0.119999886,-0.8759116,72.0,1166,0.9609378906249999,True,REGULAR,USD
24,AAPL210625C00121000,2021-06-24 19:51:59,121.0,12.25,12.35,12.45,-0.5100002,-3.996867,64.0,590,0.8945323046874999,True,REGULAR,USD
25,AAPL210625C00122000,2021-06-24 17:39:46,122.0,11.5,11.35,11.45,-0.32999992,-2.7895174,206.0,705,0.8281267187499999,True,REGULAR,USD
26,AAPL210625C00123000,2021-06-24 18:59:39,123.0,10.45,10.35,10.45,-0.71000004,-6.3620076,200.0,796,0.7656273437500001,True,REGULAR,USD
27,AAPL210625C00124000,2021-06-24 19:50:41,124.0,9.22,9.35,9.45,-0.67999935,-6.8686805,443.0,1179,0.6992217578125001,True,REGULAR,USD
28,AAPL210625C00125000,2021-06-24 19:54:27,125.0,8.41,8.35,8.45,-0.34000015,-3.8857162,424.0,3994,0.632816171875,True,REGULAR,USD
29,AAPL210625C00126000,2021-06-24 19:57:48,126.0,7.46,7.35,7.45,-0.28999996,-3.7419348,766.0,2355,0.5664105859375,True,REGULAR,USD
30,AAPL210625C00127000,2021-06-24 19:59:24,127.0,6.45,6.35,6.45,-0.17000008,-2.5679772,1553.0,3771,0.500005,True,REGULAR,USD
31,AAPL210625C00128000,2021-06-24 19:50:43,128.0,5.28,5.35,5.45,-0.4199996,-7.368414,683.0,4527,0.4335994140625,True,REGULAR,USD
32,AAPL210625C00129000,2021-06-24 19:56:02,129.0,4.43,4.35,4.45,-0.36000013,-7.515661,1573.0,5564,0.367193828125,True,REGULAR,USD
33,AAPL210625C00130000,2021-06-24 19:59:32,130.0,3.47,3.4,3.5,-0.30999994,-8.2010565,9278.0,27189,0.35352208984374994,True,REGULAR,USD
34,AAPL210625C00131000,2021-06-24 19:59:28,131.0,2.41,2.4,2.5,-0.43999982,-15.438591,5267.0,19866,0.27246821289062495,True,REGULAR,USD
35,AAPL210625C00132000,2021-06-24 19:58:59,132.0,1.5,1.48,1.57,-0.45000005,-23.076925,14621.0,22635,0.22657023437499998,True,REGULAR,USD
36,AAPL210625C00133000,2021-06-24 19:59:43,133.0,0.78,0.76,0.79,-0.4100001,-34.45379,42051.0,32180,0.20215641601562498,True,REGULAR,USD
37,AAPL210625C00134000,2021-06-24 19:59:53,134.0,0.29,0.28,0.29,-0.35,-54.6875,129029.0,34834,0.1914143359375,False,REGULAR,USD
38,AAPL210625C00135000,2021-06-24 19:59:57,135.0,0.1,0.09,0.1,-0.17000002,-62.962967,162871.0,80304,0.20606262695312497,False,REGULAR,USD
39,AAPL210625C00136000,2021-06-24 19:59:22,136.0,0.04,0.03,0.04,-0.060000002,-60.000004,50515.0,45774,0.23242955078125,False,REGULAR,USD
40,AAPL210625C00137000,2021-06-24 19:59:21,137.0,0.02,0.01,0.02,-0.030000001,-60.000004,22013.0,21434,0.26563234375,False,REGULAR,USD
41,AAPL210625C00138000,2021-06-24 19:56:30,138.0,0.01,0.0,0.01,-0.02,-66.66667,2472.0,18418,0.2890696093749999,False,REGULAR,USD
42,AAPL210625C00139000,2021-06-24 19:51:24,139.0,0.01,0.0,0.01,-0.01,-50.0,3386.0,6925,0.3437565625,False,REGULAR,USD
43,AAPL210625C00140000,2021-06-24 18:28:49,140.0,0.01,0.0,0.01,0.0,0.0,2258.0,15144,0.398443515625,False,REGULAR,USD
44,AAPL210625C00141000,2021-06-24 19:47:25,141.0,0.01,0.0,0.0,0.0,0.0,166.0,4292,0.2500075,False,REGULAR,USD
45,AAPL210625C00142000,2021-06-24 16:47:08,142.0,0.01,0.0,0.01,0.0,0.0,60.0,5170,0.500005,False,REGULAR,USD
46,AAPL210625C00143000,2021-06-24 14:22:41,143.0,0.01,0.0,0.01,0.0,0.0,27.0,1974,0.500005,False,REGULAR,USD
47,AAPL210625C00144000,2021-06-24 15:52:27,144.0,0.01,0.0,0.01,0.0,0.0,1.0,827,0.5468795312500001,False,REGULAR,USD
48,AAPL210625C00145000,2021-06-24 17:20:26,145.0,0.01,0.0,0.01,0.0,0.0,7.0,6926,0.5937540625000001,False,REGULAR,USD
49,AAPL210625C00146000,2021-06-21 14:02:25,146.0,0.01,0.0,0.01,0.0,0.0,1.0,819,0.6250037500000001,False,REGULAR,USD
50,AAPL210625C00147000,2021-06-21 16:08:07,147.0,0.01,0.0,0.01,0.0,0.0,1.0,1580,0.6875031250000001,False,REGULAR,USD
51,AAPL210625C00148000,2021-06-18 18:00:06,148.0,0.01,0.0,0.01,0.0,0.0,533.0,1747,0.7187528125,False,REGULAR,USD
52,AAPL210625C00149000,2021-06-24 15:51:38,149.0,0.01,0.0,0.01,0.0,0.0,1.0,331,0.7656273437500001,False,REGULAR,USD
53,AAPL210625C00150000,2021-06-24 15:51:38,150.0,0.01,0.0,0.01,0.0,0.0,3.0,2593,0.8125018749999999,False,REGULAR,USD
54,AAPL210625C00155000,2021-06-24 15:18:40,155.0,0.01,0.0,0.01,0.0,0.0,4.0,2162,1.000005,False,REGULAR,USD
