,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AVGO210702C00385000,2021-06-18 16:00:07,385.0,78.67,84.6,91.7,0.0,0.0,10.0,0,0.971679970703125,True,REGULAR,USD
1,AVGO210702C00390000,2021-06-18 15:59:38,390.0,73.32,79.9,86.4,0.0,0.0,5.0,0,0.918946123046875,True,REGULAR,USD
2,AVGO210702C00420000,2021-06-07 16:25:17,420.0,45.33,49.8,56.5,0.0,0.0,1.0,1,0.6088906298828126,True,REGULAR,USD
3,AVGO210702C00430000,2021-05-24 13:54:45,430.0,35.65,37.4,40.9,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
4,AVGO210702C00435000,2021-06-18 16:00:07,435.0,28.67,35.4,41.3,0.0,0.0,5.0,0,0.8261736132812498,True,REGULAR,USD
5,AVGO210702C00437500,2021-06-14 16:58:09,437.5,34.3,32.5,39.4,0.0,0.0,1.0,0,0.8364274169921874,True,REGULAR,USD
6,AVGO210702C00440000,2021-06-28 13:42:35,440.0,28.96,30.6,36.5,3.9799995,15.932745,7.0,4,0.7663597583007813,True,REGULAR,USD
7,AVGO210702C00445000,2021-06-21 17:39:53,445.0,21.0,25.5,31.5,0.0,0.0,2.0,6,0.6888458850097658,True,REGULAR,USD
8,AVGO210702C00447500,2021-06-24 18:10:27,447.5,23.1,23.0,28.9,0.0,0.0,2.0,3,0.6422154919433594,True,REGULAR,USD
9,AVGO210702C00450000,2021-06-23 15:56:29,450.0,19.49,21.1,26.5,-0.21000099,-1.0659947,1.0,5,0.6096230444335939,True,REGULAR,USD
10,AVGO210702C00455000,2021-06-28 16:05:53,455.0,20.0,15.1,22.1,9.6,92.3077,3.0,22,0.5668988623046876,True,REGULAR,USD
11,AVGO210702C00457500,2021-06-28 13:37:19,457.5,13.8,13.3,19.9,5.4000006,64.28573,101.0,101,0.5421188366699221,True,REGULAR,USD
12,AVGO210702C00460000,2021-06-28 14:46:08,460.0,15.65,11.3,15.0,8.889999,131.50887,25.0,62,0.3469303588867187,True,REGULAR,USD
13,AVGO210702C00462500,2021-06-28 19:03:42,462.5,12.09,10.4,12.2,6.53,117.44605,28.0,58,0.28711650390624993,True,REGULAR,USD
14,AVGO210702C00465000,2021-06-28 16:24:29,465.0,9.8,9.6,10.4,5.59,132.7791,46.0,88,0.2893137475585937,True,REGULAR,USD
15,AVGO210702C00467500,2021-06-28 19:37:37,467.5,8.35,7.8,8.3,5.0800004,155.3517,90.0,52,0.2662426892089844,True,REGULAR,USD
16,AVGO210702C00470000,2021-06-28 19:37:37,470.0,6.37,6.2,6.6,3.6699998,135.92592,128.0,107,0.25794199096679693,True,REGULAR,USD
17,AVGO210702C00472500,2021-06-28 19:37:06,472.5,5.1,4.7,5.2,3.25,175.67567,129.0,57,0.2557447473144532,True,REGULAR,USD
18,AVGO210702C00475000,2021-06-28 19:38:49,475.0,3.8,3.5,4.0,2.4499998,181.48148,371.0,366,0.25379164184570313,False,REGULAR,USD
19,AVGO210702C00477500,2021-06-28 19:57:47,477.5,2.65,2.45,2.85,1.57,145.37036,303.0,166,0.24402611450195313,False,REGULAR,USD
20,AVGO210702C00480000,2021-06-28 19:17:27,480.0,1.9,1.7,2.1,1.3,216.66666,198.0,284,0.245124736328125,False,REGULAR,USD
21,AVGO210702C00482500,2021-06-28 17:18:29,482.5,1.68,1.2,1.45,1.1299999,205.45451,71.0,265,0.24195093994140626,False,REGULAR,USD
22,AVGO210702C00485000,2021-06-28 19:57:37,485.0,0.85,0.75,1.0,0.40000004,88.8889,173.0,112,0.24195093994140626,False,REGULAR,USD
23,AVGO210702C00487500,2021-06-28 18:58:17,487.5,0.62,0.4,0.7,0.32,106.66666,28.0,38,0.245124736328125,False,REGULAR,USD
24,AVGO210702C00490000,2021-06-28 19:05:26,490.0,0.37,0.25,0.35,0.17,85.0,88.0,194,0.22974403076171873,False,REGULAR,USD
25,AVGO210702C00492500,2021-06-28 19:15:06,492.5,0.24,0.15,3.2,-0.19000001,-44.18605,7.0,242,0.5036670727539063,False,REGULAR,USD
26,AVGO210702C00495000,2021-06-28 18:58:17,495.0,0.14,0.05,0.2,-0.16000001,-53.333336,7.0,11,0.24927508544921873,False,REGULAR,USD
27,AVGO210702C00497500,2021-06-28 19:27:19,497.5,0.14,0.05,0.3,-0.019999996,-12.499998,5.0,13,0.2929758203124999,False,REGULAR,USD
28,AVGO210702C00500000,2021-06-28 18:24:37,500.0,0.09,0.1,0.2,-0.029999994,-24.999996,73.0,125,0.2929758203124999,False,REGULAR,USD
29,AVGO210702C00505000,2021-06-17 16:41:38,505.0,0.6,0.0,3.6,0.0,0.0,1.0,5,0.5531050549316407,False,REGULAR,USD
30,AVGO210702C00510000,2021-06-23 15:40:40,510.0,0.17,0.0,3.6,0.0,0.0,3.0,82,0.6091347680664063,False,REGULAR,USD
31,AVGO210702C00515000,2021-06-24 19:25:32,515.0,0.28,0.0,0.05,0.0,0.0,10.0,14,0.34180345703125,False,REGULAR,USD
32,AVGO210702C00520000,2021-06-17 17:48:56,520.0,0.25,0.0,3.6,0.0,0.0,2.0,9,0.7155790161132812,False,REGULAR,USD
33,AVGO210702C00525000,2021-06-02 14:53:18,525.0,1.7,0.0,3.6,0.0,0.0,,1,0.7666038964843751,False,REGULAR,USD
34,AVGO210702C00530000,2021-06-01 19:01:53,530.0,0.2,0.0,4.2,-0.049999997,-19.999998,1.0,7,0.8500991552734375,False,REGULAR,USD
