,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,GOOG210625C01350000,2021-06-18 14:30:40,1350.0,1149.19,1189.5,1204.1,0.0,0.0,1.0,1,4.969730350341797,True,REGULAR,USD
1,GOOG210625C01600000,2021-06-18 15:31:28,1600.0,893.0,943.8,946.9,0.0,0.0,3.0,3,3.777344306640625,True,REGULAR,USD
2,GOOG210625C01720000,2021-06-18 19:55:43,1720.0,801.61,819.3,833.6,0.0,0.0,1.0,1,3.07031482421875,True,REGULAR,USD
3,GOOG210625C01760000,2021-06-18 13:30:29,1760.0,761.19,779.3,794.2,0.0,0.0,1.0,0,3.0224633813476567,True,REGULAR,USD
4,GOOG210625C01790000,2021-06-23 19:08:22,1790.0,745.2,749.3,764.2,0.0,0.0,2.0,2,2.8979519738769532,True,REGULAR,USD
5,GOOG210625C01900000,2021-06-08 14:00:15,1900.0,575.2,639.4,654.2,0.0,0.0,,10,2.470218668212891,True,REGULAR,USD
6,GOOG210625C01950000,2021-06-07 13:47:17,1950.0,499.7,589.4,603.6,0.0,0.0,,1,2.1875045312499997,True,REGULAR,USD
7,GOOG210625C01970000,2021-06-07 13:47:17,1970.0,479.8,569.4,584.2,0.0,0.0,,1,2.1977584118652342,True,REGULAR,USD
8,GOOG210625C01980000,2021-06-22 19:01:15,1980.0,558.1,559.4,573.6,0.0,0.0,5.0,5,2.076176684570312,True,REGULAR,USD
9,GOOG210625C02000000,2021-06-23 14:26:31,2000.0,543.6,543.2,545.9,0.0,0.0,2.0,4,1.7421887890624999,True,REGULAR,USD
10,GOOG210625C02010000,2021-06-18 19:54:13,2010.0,509.5,529.5,544.1,0.0,0.0,1.0,1,2.0454150427246094,True,REGULAR,USD
11,GOOG210625C02040000,2021-06-18 19:26:09,2040.0,470.34,499.4,514.2,0.0,0.0,1.0,1,1.9321292456054686,True,REGULAR,USD
12,GOOG210625C02050000,2021-06-24 16:45:54,2050.0,494.97,489.4,504.2,3.5700073,0.72649723,4.0,7,1.894775916748047,True,REGULAR,USD
13,GOOG210625C02090000,2021-05-17 04:00:24,2090.0,199.8,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
14,GOOG210625C02100000,2021-06-22 16:41:42,2100.0,431.77,439.4,454.1,0.0,0.0,1.0,5,1.6987319750976564,True,REGULAR,USD
