,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT210709C00145000,2021-06-21 13:46:06,145.0,130.6,134.85,135.0,0.0,0.0,1.0,10,2.89844025390625,True,REGULAR,USD
1,MSFT210709C00160000,2021-06-21 13:46:06,160.0,99.05,119.25,120.5,0.0,0.0,6.0,13,2.328129179687499,True,REGULAR,USD
2,MSFT210709C00170000,2021-06-14 04:09:07,170.0,85.1,109.8,110.25,0.0,0.0,,8,2.44531638671875,True,REGULAR,USD
3,MSFT210709C00180000,2021-06-21 13:46:02,180.0,79.06,99.7,100.55,0.0,0.0,,6,2.318363579101562,True,REGULAR,USD
4,MSFT210709C00195000,2021-07-06 17:24:56,195.0,83.95,84.8,85.2,2.2599945,2.7665496,8.0,0,1.8007822460937497,True,REGULAR,USD
5,MSFT210709C00200000,2021-07-06 18:30:49,200.0,76.7,79.7,80.65,0.0,0.0,2.0,2,1.8671881640625,True,REGULAR,USD
6,MSFT210709C00205000,2021-06-28 14:49:49,205.0,62.9,75.0,75.45,0.0,0.0,1.0,1,1.787110439453125,True,REGULAR,USD
7,MSFT210709C00210000,2021-07-06 18:44:28,210.0,68.95,69.75,70.2,2.2399979,3.3578143,8.0,7,1.439455927734375,True,REGULAR,USD
8,MSFT210709C00215000,2021-07-06 13:30:00,215.0,62.92,64.6,65.3,0.0,0.0,2.0,1,1.3046909765624997,True,REGULAR,USD
9,MSFT210709C00217500,2021-06-30 15:19:41,217.5,53.5,62.0,62.9,0.0,0.0,6.0,4,1.25390998046875,True,REGULAR,USD
10,MSFT210709C00220000,2021-06-29 19:30:16,220.0,58.03,59.65,60.1,0.0,0.0,2.0,12,1.0781296093750001,True,REGULAR,USD
11,MSFT210709C00225000,2021-06-28 19:43:02,225.0,43.08,54.6,55.3,0.0,0.0,2.0,2,1.1035201074218752,True,REGULAR,USD
12,MSFT210709C00227500,2021-06-03 16:58:10,227.5,19.54,49.0,50.85,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
13,MSFT210709C00230000,2021-07-06 19:02:00,230.0,46.61,49.3,50.35,0.0,0.0,2.0,52,0.70312796875,True,REGULAR,USD
14,MSFT210709C00232500,2021-07-06 16:11:45,232.5,43.0,47.0,47.95,0.0,0.0,4.0,4,0.98242205078125,True,REGULAR,USD
15,MSFT210709C00235000,2021-07-06 19:41:38,235.0,42.35,44.75,45.25,0.0,0.0,87.0,62,0.95507857421875,True,REGULAR,USD
16,MSFT210709C00237500,2021-06-28 13:55:58,237.5,30.45,41.85,42.65,0.0,0.0,5.0,19,1.001958115234375,True,REGULAR,USD
17,MSFT210709C00240000,2021-07-06 19:40:32,240.0,37.26,39.4,40.3,0.0,0.0,61.0,157,0.6718782812500002,True,REGULAR,USD
18,MSFT210709C00242500,2021-07-07 15:37:15,242.5,36.11,37.25,37.8,3.3600006,10.259543,1.0,69,0.823243955078125,True,REGULAR,USD
19,MSFT210709C00245000,2021-07-06 19:02:54,245.0,31.68,34.7,35.1,0.0,0.0,9.0,143,0.6699251757812501,True,REGULAR,USD
20,MSFT210709C00247500,2021-07-07 16:21:48,247.5,32.52,32.3,33.2,1.5400009,4.970952,2.0,198,0.831056376953125,True,REGULAR,USD
21,MSFT210709C00250000,2021-07-07 16:21:54,250.0,29.9,29.75,30.0,2.6900005,9.886074,4.0,1074,0.5507857421875001,True,REGULAR,USD
22,MSFT210709C00252500,2021-07-07 14:13:20,252.5,28.0,27.35,28.05,3.4400005,14.006517,712.0,915,0.702151416015625,True,REGULAR,USD
23,MSFT210709C00255000,2021-07-07 15:36:04,255.0,23.58,24.8,25.0,1.3199997,5.929918,60.0,778,0.56055126953125,True,REGULAR,USD
24,MSFT210709C00257500,2021-07-07 15:19:20,257.5,21.5,21.75,22.75,2.3799992,12.447694,14.0,715,0.6093789062500001,True,REGULAR,USD
25,MSFT210709C00260000,2021-07-07 15:53:13,260.0,19.81,19.85,20.0,2.209999,12.556812,77.0,4297,0.46191944335937507,True,REGULAR,USD
26,MSFT210709C00262500,2021-07-07 16:08:49,262.5,17.69,17.35,17.55,2.9400005,19.932207,209.0,5752,0.432622861328125,True,REGULAR,USD
27,MSFT210709C00265000,2021-07-07 16:20:17,265.0,15.19,14.9,15.0,2.4199991,18.950657,343.0,2201,0.36133451171875,True,REGULAR,USD
28,MSFT210709C00267500,2021-07-07 15:25:39,267.5,12.55,12.4,12.55,2.1999998,21.256037,69.0,1751,0.3276434423828125,True,REGULAR,USD
29,MSFT210709C00270000,2021-07-07 16:23:47,270.0,10.0,10.0,10.05,2.1599998,27.55102,470.0,3244,0.2739330419921875,True,REGULAR,USD
30,MSFT210709C00272500,2021-07-07 16:21:04,272.5,7.75,7.5,7.65,2.1999998,39.639637,506.0,3337,0.241218525390625,True,REGULAR,USD
31,MSFT210709C00275000,2021-07-07 16:21:31,275.0,5.35,5.2,5.35,1.9499998,57.352936,2055.0,5743,0.21167780517578122,True,REGULAR,USD
32,MSFT210709C00277500,2021-07-07 16:22:37,277.5,3.2,3.05,3.2,1.35,72.97297,5976.0,4938,0.17945156494140624,True,REGULAR,USD
33,MSFT210709C00280000,2021-07-07 16:24:38,280.0,1.58,1.56,1.6,0.74000007,88.095245,22095.0,7764,0.1667563793945313,False,REGULAR,USD
34,MSFT210709C00282500,2021-07-07 16:24:12,282.5,0.63,0.62,0.64,0.28,80.0,9815.0,4607,0.16162947753906248,False,REGULAR,USD
35,MSFT210709C00285000,2021-07-07 16:22:53,285.0,0.25,0.24,0.25,0.09,56.25,8013.0,4118,0.17017431396484378,False,REGULAR,USD
36,MSFT210709C00287500,2021-07-07 16:22:23,287.5,0.11,0.1,0.11,0.030000001,37.500004,1026.0,1249,0.1860432958984375,False,REGULAR,USD
37,MSFT210709C00290000,2021-07-07 16:24:45,290.0,0.06,0.05,0.06,0.0,0.0,962.0,3071,0.20801573242187496,False,REGULAR,USD
